start,end,words,category,pcrel_refs,branch_refs,labels,function,sample_values
0x3458C,0x3458C,1,data:pool_single,1,0,1,,FFFF
0x34590,0x34590,1,data:pool_single,1,0,1,,FFFF
0x3459C,0x3459C,1,data:pool_single,1,0,1,,FFFF
0x345A6,0x345A8,2,data:pool_unclassified,1,0,1,,8CE8 0000
0x345AE,0x345B0,2,data:pool_unclassified,1,0,1,,8CF0 0000
0x346A4,0x346A4,1,data:pool_single,1,0,1,,0000
0x346A8,0x346A8,1,data:pool_single,1,0,1,,FFFF
0x346B0,0x346B0,1,data:pool_single,1,0,1,,FFFF
0x346B4,0x346B4,1,data:pool_single,1,0,1,,FFFF
0x346BA,0x346BC,2,data:pool_unclassified,1,0,1,,8680 FFFF
0x346C4,0x346C4,1,data:pool_single,1,0,1,,0000
0x346CC,0x346CC,1,data:pool_single,1,0,1,,FFFF
0x346D6,0x346D8,2,data:pool_unclassified,1,0,1,,8674 0000
0x346DC,0x346DC,1,data:pool_single,1,0,1,,FFFF
0x346E0,0x346E0,1,data:pool_single,1,0,1,,FFFF
0x346E6,0x346E8,2,data:pool_unclassified,1,0,1,,8684 FFFF
0x347F2,0x347F2,1,data:padding_single,0,0,0,,FFFF
0x347F8,0x347F8,1,data:pool_single,1,0,1,,0000
0x347FC,0x347FC,1,data:pool_single,1,0,1,,FFFF
0x34806,0x34808,2,data:pool_unclassified,1,0,1,,8675 0000
0x3480C,0x3480C,1,data:pool_single,1,0,1,,FFFF
0x34810,0x34810,1,data:pool_single,1,0,1,,FFFF
0x34816,0x34818,2,data:pool_unclassified,1,1,2,,8688 FFFF
0x34820,0x34820,1,data:pool_single,1,0,1,,0000
0x34824,0x34824,1,data:pool_single,1,0,1,,FFFF
0x34828,0x34828,1,data:pool_single,1,0,1,,FFFF
0x3482C,0x3482C,1,data:pool_single,1,0,1,,FFFF
0x34830,0x34830,1,data:pool_single,1,0,1,,FFFF
0x34834,0x34834,1,data:pool_single,1,0,1,,FFFF
0x3483A,0x3483A,1,data:table_member,0,0,0,,8676
0x3483E,0x3483E,1,data:table_member,0,1,1,,8678
0x34842,0x34844,2,data:pool_unclassified,1,1,1,,867C 0000
0x34848,0x34848,1,data:pool_single,1,0,1,,FFFF
0x3493E,0x34940,2,data:padding_pattern,1,0,1,,FFFF FFFF
0x34944,0x34944,1,data:pool_single,1,0,1,,FFFF
0x34954,0x34954,1,data:pool_single,1,0,1,,0000
0x34958,0x34958,1,data:pool_single,1,0,1,,FFFF
0x34960,0x34960,1,data:pool_single,1,0,1,,FFFF
0x34964,0x34964,1,data:pool_single,1,0,1,,FFFF
0x3496C,0x3496C,1,data:pool_single,1,0,1,,FFFF
0x34974,0x34974,1,data:pool_single,1,0,1,,0000
0x34978,0x34978,1,data:pool_single,1,0,1,,FFFF
0x34984,0x34984,1,data:pool_single,1,0,1,,0000
0x34A8A,0x34A8C,2,data:padding_pattern,1,0,1,,FFFF FFFF
0x34A94,0x34A94,1,data:pool_single,1,0,1,,FFFF
0x34AA0,0x34AA0,1,data:pool_single,1,0,1,,FFFF
0x34AA6,0x34AA8,2,data:padding_pattern,1,0,1,,0000 0000
0x34AB0,0x34AB0,1,data:pool_single,1,0,1,,0000
0x34AB8,0x34AB8,1,data:pool_single,1,0,1,,FFFF
0x34ABC,0x34ABC,1,data:pool_single,1,0,1,,FFFF
0x34AC4,0x34AC4,1,data:pool_single,1,0,1,,FFFF
0x34ACC,0x34ACC,1,data:pool_single,1,0,1,,FFFF
0x34BB6,0x34BB6,1,data:padding_single,0,0,0,,FFFF
0x34BBC,0x34BBC,1,data:pool_single,1,0,1,,0000
0x34BC4,0x34BC4,1,data:pool_single,1,0,1,,0000
0x34BC8,0x34BC8,1,data:pool_single,1,0,1,,FFFF
0x34BD4,0x34BD4,1,data:pool_single,1,0,1,,0000
0x34BD8,0x34BD8,1,data:pool_single,1,0,1,,FFFF
0x34BDC,0x34BDC,1,data:pool_single,1,0,1,,FFFF
0x34BE4,0x34BE4,1,data:pool_single,1,0,1,,FFFF
0x34BF0,0x34BF0,1,data:pool_single,1,0,1,,FFFF
0x34BF8,0x34BF8,1,data:pool_single,1,0,1,,0000
0x34C8E,0x34C90,2,data:padding_pattern,1,0,1,,FFFF FFFF
0x34C94,0x34C94,1,data:pool_single,1,0,1,,FFFF
0x34C98,0x34C98,1,data:pool_single,1,0,1,,FFFF
0x34C9C,0x34C9C,1,data:pool_single,1,0,1,,FFFF
0x34CA0,0x34CA0,1,data:pool_single,1,0,1,,FFFF
0x34CA4,0x34CA4,1,data:pool_single,1,0,1,,FFFF
0x34CA8,0x34CA8,1,data:pool_single,1,0,1,,FFFF
0x34CAC,0x34CAC,1,data:pool_single,1,0,1,,FFFF
0x34CB8,0x34CB8,1,data:pool_single,1,0,1,,FFFF
0x34CC0,0x34CC0,1,data:pool_single,1,0,1,,0000
0x34CC4,0x34CC4,1,data:pool_single,1,0,1,,FFFF
0x34DD0,0x34DD0,1,data:pool_single,1,0,1,,FFFF
