kind,start,end,class,src,motivo
data,390446,390448,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390470,390472,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390482,390488,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390494,390500,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390610,390630,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390646,390648,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390658,390660,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390682,390684,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390706,390708,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390730,390732,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390750,390752,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,390774,390782,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
data,391164,391166,literal_pool,"vector/pool data cluster (unref, referenced-by-declaration)"
trap,0x6BE6E,0x6BE6E,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6BE1E,0x6BE1E,,0x0,FFFF filler slot (dispatch/unused handler vector, not missing code)
trap,0x6D7B6,0x6D7B6,,0x0,branch into declared data table (descriptor/vector pool); source is derived-data region, not missing code
trap,0x6D9C2,0x6D9C2,,0x0,branch into declared data table (descriptor/vector pool); source is derived-data region, not missing code
trap,0x6D7C0,0x6D7C0,,0x0,branch into declared data table (descriptor/vector pool); source is derived-data region, not missing code
trap,0x6CFD4,0x6CFD4,,0x0,branch into declared data table (descriptor/vector pool); source is derived-data region, not missing code
trap,0x6D7FE,0x6D7FE,,0x0,branch into declared data table (descriptor/vector pool); source is derived-data region, not missing code
trap,0x6DC46,0x6DC46,,0x0,branch into declared data table (descriptor/vector pool); source is derived-data region, not missing code
trap,0x6DC48,0x6DC48,,0x0,branch into declared data table (descriptor/vector pool); source is derived-data region, not missing code
trap,0x6CFEA,0x6CFEA,,0x0,branch into declared data table (descriptor/vector pool); source is derived-data region, not missing code
trap,0x6CFEC,0x6CFEC,,0x0,branch into declared data table (descriptor/vector pool); source is derived-data region, not missing code
trap,0x6D1F0,0x6D1F0,,0x0,branch into declared data table (descriptor/vector pool); source is derived-data region, not missing code
trap,0x6D406,0x6D406,,0x0,branch into declared data table (descriptor/vector pool); source is derived-data region, not missing code
trap,0x6D63C,0x6D63C,,0x0,branch into declared data table (descriptor/vector pool); source is derived-data region, not missing code
trap,0x6CEDA,0x6CEDA,,0x0,branch into declared data table (descriptor/vector pool); source is derived-data region, not missing code
