kind,start,end,class,src,motivo
data,64842,64848,literal_pool,,pcrel refs 1/3 words (mov.lx1)
data,64850,64858,literal_pool,,pcrel refs 2/4 words (mov.lx2)
data,64864,64868,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,65102,65106,literal_pool,,pcrel refs 2/2 words (mov.wx1+mov.lx1)
data,65108,65114,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,65404,65408,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,65852,65858,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,65930,65938,literal_pool,,pcrel refs 2/4 words (mov.lx2)
data,66214,66218,literal_pool,,pcrel refs 2/2 words (mov.wx1+mov.lx1)
data,66482,66486,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,66768,66772,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,67382,67386,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,67418,67422,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,67424,67428,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,68010,68014,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,68034,68038,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,68040,68050,literal_pool,,pcrel refs 3/5 words (mov.lx3)
data,68624,68630,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,68642,68648,literal_pool,,pcrel refs 1/3 words (mov.lx1)
data,68654,68662,literal_pool,,pcrel refs 2/4 words (mov.lx2)
data,69040,69046,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,69438,69442,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,69918,69922,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,69926,69934,literal_pool,,pcrel refs 2/4 words (mov.lx2)
data,70214,70218,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,70234,70238,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,70354,70358,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,70366,70370,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,71124,71128,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,71316,71320,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,71886,71890,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,71924,71930,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,72068,72072,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,72144,72148,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,72798,72802,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,72936,72940,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,73076,73080,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,73154,73158,literal_pool,,pcrel refs 2/2 words (mov.wx1+mov.lx1)
data,73622,73626,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,73656,73660,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,73740,73744,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,73746,73750,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,73780,73784,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,73816,73820,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,74110,74114,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,74174,74178,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,74216,74224,literal_pool,,pcrel refs 2/4 words (mov.lx2)
data,75272,75276,literal_pool,,pcrel refs 1/2 words (movax1)
data,75564,75568,literal_pool,,pcrel refs 1/2 words (movax1)
data,76908,76914,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,77134,77138,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,77164,77170,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,77410,77414,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,77970,77974,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,78490,78494,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,79086,79090,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,79566,79570,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,80862,80866,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,82268,82272,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,82594,82598,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,82608,82614,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,83260,83264,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,83320,83330,literal_pool,,pcrel refs 4/5 words (mov.lx3+mov.wx1)
data,83900,83910,jump_table,,32-bit absolute x2 (pairing+0
data,84080,84090,jump_table,,32-bit absolute x2 (pairing+0
data,84108,84118,jump_table,,32-bit absolute x2 (pairing+0
data,84420,84426,literal_pool,,pcrel refs 2/3 words (mov.lx2)
data,84440,84448,jump_table,,32-bit absolute x2 (pairing+0
data,84502,84514,jump_table,,32-bit absolute x2 (pairing+1
data,84526,84530,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,84536,84540,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,84850,84854,padding,,all-0xFFFF filler (stray pcrel ref x1)
data,85006,85010,literal_pool,,pcrel refs 1/2 words (mov.lx1)
data,85028,85032,literal_pool,,pcrel refs 1/2 words (movax1)
