addr_start,addr_end,word_count,class,notes
38996,39002,3,literal_pool,pcrel refs 2/3 words (mov.wx1+mov.lx1)
39310,39314,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
40442,40446,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
40990,40994,2,literal_pool,pcrel refs 2/2 words (mov.wx1+mov.lx1)
41212,41218,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
41220,41226,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
41910,41914,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
42338,42346,4,literal_pool,pcrel refs 4/4 words (mov.wx3+mov.lx1)
42842,42846,2,literal_pool,pcrel refs 2/2 words (mov.wx2)
42850,42854,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
43192,43198,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
43476,43482,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
43618,43622,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
43680,43686,3,literal_pool,pcrel refs 2/3 words (mov.wx1+mov.lx1)
43936,43946,5,literal_pool,pcrel refs 3/5 words (mov.lx2+mov.wx1)
43964,43970,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
43978,43982,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
44270,44274,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
44642,44646,2,padding,all-0xFFFF filler (stray pcrel ref x1)
44670,44674,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
44732,44742,5,literal_pool,pcrel refs 3/5 words (mov.lx3)
44802,44806,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
45514,45518,2,literal_pool,pcrel refs 2/2 words (mov.wx1+mov.lx1)
45542,45546,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
46410,46414,2,padding,all-0xFFFF filler (stray pcrel ref x1)
46434,46438,2,padding,all-zero word filler
46742,46746,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
47092,47096,2,literal_pool,pcrel refs 2/2 words (mov.wx2)
47118,47122,2,literal_pool,pcrel refs 2/2 words (mov.wx1+mov.lx1)
47124,47130,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
47136,47142,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
47510,47514,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
47740,47746,3,literal_pool,pcrel refs 2/3 words (mov.wx1+mov.lx1)
47748,47754,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
48030,48034,2,padding,all-0xFFFF filler (stray pcrel ref x1)
48372,48376,2,literal_pool,pcrel refs 2/2 words (mov.wx2)
48416,48422,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
48738,48742,2,literal_pool,pcrel refs 2/2 words (mov.wx2)
48748,48754,3,literal_pool,pcrel refs 2/3 words (mov.wx1+mov.lx1)
48756,48762,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
48976,48982,3,literal_pool,pcrel refs 3/3 words (mov.wx2+mov.lx1)
48996,49002,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
49300,49304,2,literal_pool,pcrel refs 2/2 words (mov.wx2)
49306,49310,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
49316,49320,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
49634,49638,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
49640,49646,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
49652,49660,4,literal_pool,pcrel refs 2/4 words (mov.lx2)
49848,49854,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
50050,50054,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
50096,50102,3,literal_pool,pcrel refs 2/3 words (movax1+mov.lx1)
50112,50118,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
50354,50358,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
51382,51386,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
51418,51422,2,padding,all-zero word filler
51438,51442,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
51844,51850,3,literal_pool,pcrel refs 2/3 words (movax1+mov.lx1)
51858,51862,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
51868,51874,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
52138,52142,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
52200,52204,2,literal_pool,pcrel refs 1/2 words (movax1)
52206,52212,3,literal_pool,pcrel refs 1/3 words (movax1)
52322,52326,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
52642,52646,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
52660,52670,5,literal_pool,pcrel refs 3/5 words (mov.lx3)
52970,52974,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
53308,53314,3,literal_pool,pcrel refs 2/3 words (mov.wx1+mov.lx1)
53650,53654,2,padding,all-zero word filler
53690,53694,2,literal_pool,pcrel refs 2/2 words (mov.wx1+mov.lx1)
53922,53926,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
54222,54226,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
54342,54346,2,padding,all-0xFFFF filler (stray pcrel ref x1)
54362,54366,2,padding,all-zero word filler
54414,54418,2,padding,all-0xFFFF filler (stray pcrel ref x1)
54612,54616,2,literal_pool,pcrel refs 1/2 words (mov.wx1)
54622,54626,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
54628,54634,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
54640,54646,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
55474,55478,2,literal_pool,pcrel refs 1/2 words (mov.lx1)
55488,55494,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
55500,55506,3,literal_pool,pcrel refs 2/3 words (mov.lx2)
55734,55738,2,literal_pool,pcrel refs 2/2 words (mov.wx1+mov.lx1)
55784,55790,3,unknown_data,
55794,55798,2,unknown_data,
55812,55842,15,unknown_data,
55894,55898,2,padding,all-0xFFFF filler
55900,55904,2,padding,all-0xFFFF filler
55906,55910,2,padding,all-0xFFFF filler
55912,55918,3,padding,all-0xFFFF filler
55924,55930,3,unknown_data,
55938,55942,2,unknown_data,
55948,55954,3,unknown_data,
55962,55966,2,unknown_data,
55974,55978,2,unknown_data,
55984,55990,3,unknown_data,
56008,56014,3,literal_pool,pcrel refs 1/3 words (mov.lx1)
56032,56038,3,unknown_data,
56056,56062,3,unknown_data,
56080,56086,3,unknown_data,
56094,56098,2,unknown_data,
56210,56214,2,unknown_data,
56224,56230,3,literal_pool,pcrel refs 1/3 words (mov.wx1)
56234,56244,5,unknown_data,
