addr,name,source
0x011F54,getKnownBooleanValue??,ghidra-hand
0x011F78,calculateLeadingTimingBase,ghidra-hand
0x01202A,calculateTrailingTimingBase,ghidra-hand
0x012180,getIgnitionTimingInit,ghidra-hand
0x012192,getInitalLeadingTrailingAdvance?,ghidra-hand
0x0121A4,calculateDSCLeadingTimingDerate?,ghidra-hand
0x012236,modifyTiming,ghidra-hand
0x012294,calculateDSCTrailingTimingDerate?,ghidra-hand
0x012326,modifyTrailingTiming,ghidra-hand
0x012342,calculateLeadingTimingDerateCompensated,ghidra-hand
0x012352,calculateTrailingTimingDerateCompensated,ghidra-hand
0x012362,calculateLeadingTimingBaseFinal,ghidra-hand
0x012456,calculateTrailingTimingBaseFinal,ghidra-hand
0x01253C,calculateLeadingDerateRetard,ghidra-hand
0x012576,calculateTrailingDerateRetard,ghidra-hand
0x0125B0,defaultTimingMinMax,ghidra-hand
0x0126C0,calculateTrailingOffThrottleRetard?,ghidra-hand
0x0127E8,vehicleSpeedAndBrakingFuelCut?,ghidra-hand
0x012904,calculateOffThrottleTimingDerate,ghidra-hand
0x012B6A,calculateOffThrottleORFuelCutTimer,ghidra-hand
0x012BD6,somethingEngineLoadCalc,ghidra-hand
0x012CE8,getEngineLimitTimingDerates?,ghidra-hand
0x012D30,engineConditionDetectForTimingModification,ghidra-hand
0x012E94,leadingAndTrailingSeperatorSomething,ghidra-hand
0x013070,roughKnockCorrection,ghidra-hand
0x01326E,finalLeadingTimingStuff?,ghidra-hand
0x0132CA,finalTrailingTimingStuff?,ghidra-hand
0x013414,idleLeadingTimingCorrection?,ghidra-hand
0x013544,idleTrailingTimingCorrection?,ghidra-hand
0x013674,updateKnockRamTHUNK,ghidra-hand
0x013686,getKnockControlAllowed??,ghidra-hand
0x0136D6,getKnockSensorFaultedStatus?,ghidra-hand
0x0136FE,getKnockControlActive,ghidra-hand
0x013760,calcKnockRAMUpdate?,ghidra-hand
0x013808,updateKnockMaxRAM,ghidra-hand
0x0138A4,calculateKnockConditonActiveTimingDerate,ghidra-hand
0x0139B4,calculateKnockConditonClearedAddTimingBack,ghidra-hand
0x013AE4,limitKnockRetardMax_ConditonalRPM,ghidra-hand
0x013B4A,limitKnockRetardMax_CalValue,ghidra-hand
0x013B5E,saturateBetweenKnockRetardMinMaxTables,ghidra-hand
0x013C44,getEngineConditionsForKnockControl??,ghidra-hand
0x013E04,debounceThrottleRate,ghidra-hand
0x013E30,getCoolantBasedTimingDerate??,ghidra-hand
0x013E98,floatArrayToByteArrayLookup1,ghidra-hand
0x013F60,floatArrayToByteArrayLookup2,ghidra-hand
0x013FF4,calcLeadingTimingIATCompensation,ghidra-hand
0x014064,calculateAllTimingLoadCompensation,ghidra-hand
0x0141FC,engineControlCalculateTiming,ghidra-hand
0x0143D2,fuelCutCondtionRelated,ghidra-hand
0x014586,torqueModelRealted,ghidra-hand
0x0145BC,calculateLeadingTimingCompensations,ghidra-hand
0x0145DA,leadingAndTrailingSeperationMain,ghidra-hand
0x014614,updateKnockRamTHUNK,ghidra-hand
0x0146D4,setPerRotorTimingValuesLeading,ghidra-hand
0x01470A,setPerRotorTimingValuesTrailing,ghidra-hand
0x01476C,engineCrankingConditionsInit??,ghidra-hand
0x01477C,getEngineCrankingState??,ghidra-hand
0x0148A4,detectIdleConditions???,ghidra-hand
0x014B0A,updateIdleTimersMAYBE??,ghidra-hand
0x014C70,idleTableLookupRelated?,ghidra-hand
0x014FCC,idleController?,ghidra-hand
0x0165C4,updateIdleControl??,ghidra-hand
0x0167D8,ImmoRelatedFaultSomething?,ghidra-hand
0x016924,readImmoBit,ghidra-hand
0x016B30,calcOilMetering,ghidra-hand
0x01721C,knockRelatedFUNC,ghidra-hand
0x0178E8,calculateKnockTimingDerateConditionEvents,ghidra-hand
0x017AB0,batteryRelatedFaults??,ghidra-hand
0x017D7A,omp_control_task_1825E,ghidra-hand
0x018D3C,dscRelatedTiming?,ghidra-hand
0x0193B4,getSecondaryAirPumpRequest,ghidra-hand
0x0194A0,getConditonalsFuelCutRelated?,ghidra-hand
0x0198FA,evaluateFuelCutCondtionUnknown,ghidra-hand
0x019A5E,adcCoolantTemp2Volts,ghidra-hand
0x019A76,coolantTempRAMWrite,ghidra-hand
0x019AB2,decrementTempForCatModel??,ghidra-hand
0x019B82,filterSomething,ghidra-hand
0x019BC6,filterSomething2,ghidra-hand
0x019FC0,calculateThrottlePedalPercent,ghidra-hand
0x01A2E8,calculateKeyOnTime,ghidra-hand
0x01A310,calculateKeyOffTime,ghidra-hand
0x01A35C,getIOUpdates?,ghidra-hand
0x01A4E6,engineControlGetAir,ghidra-hand
0x01A68C,initOrNewLoopMAYBE,ghidra-hand
0x01A7FA,vehicleConditionRelatedFuntions,ghidra-hand
