address,proposed_name,confidence,source,notes
0xffffaa74,ram_aa74,low,function_names+renames,fns: float_copy_aa74_to_c50c (x1); roles: float_copy_aa74_to_c50c; cats: Math / FPU(x1); AMBIGUOUS: single weak ref; low16 collides with ROM fn addr & no 0xffff literal in reasons
0xffffaa7c,float_copy,high,function_names+renames,fns: float_copy_aa70_to_aa74_aa7c_aca0 (x1); roles: float_copy_aa70_to_aa74_aa7c_aca0; cats: Ignition & Knock(x1)
0xffffaa80,float_array_clamp,high,function_names+renames,fns: float_array_clamp_aa80_aa98 (x1); roles: float_array_clamp_aa80_aa98; cats: Math / FPU(x1)
0xffffaa98,float_array_clamp,high,function_names+renames,fns: float_array_clamp_aa80_aa98 (x1); roles: float_array_clamp_aa80_aa98; cats: Math / FPU(x1)
0xffffaabc,cal_float_store,high,function_names+renames,fns: cal_float_store_aabc_aefc (x1); cal_float_store_aabc_af06 (x1); roles: cal_float_store_aabc_aefc; cal_float_store_aabc_af06; cats: Ignition & Knock(x2)
0xffffaac6,ram_aac6,low,renames,roles: cond_flag_b2e0_multi_eval
0xffffaacc,if_ssv_mode,medium,renames,roles: ssv_mode_gated_copy_bf59_to_bf58; ctx: if_ssv_mode(x1)
0xffffaacd,flag_copy,high,function_names+renames,fns: flag_copy_aacd_to_aacc_b0b0 (x1); roles: flag_copy_aacd_to_aacc_b0b0; cats: Boot & Init(x1)
0xffffaada,input_byte_copy,high,function_names+renames,fns: input_byte_copy_aada_aadb (x1); roles: fuel_closed_loop_confirm_ctr; input_byte_copy_aada_aadb; cats: Memory & CRC(x1)
0xffffaadb,input_byte_copy,high,function_names+renames,fns: input_byte_copy_aada_aadb (x1); roles: input_byte_copy_aada_aadb; cats: Memory & CRC(x1)
0xffffaae0,inputs,medium,renames,roles: aux_idle_debounce_accumulate; ctx: inputs(x1)
0xffffad74,sensor,high,function_names+renames,"fns: sensor_ad74_dtc_0c_0d_monitor (x1); sensor_ad74_dtc_0c_0d_monitor_b (x1); uds_mode22_data_getter_f32_ad74 (x1); roles: uds_mode22_data_getter_f32_ad74; sensor_ad74_dtc_0c_0d_monitor; sensor_ad74_dtc_0c_0d_monitor_b; cats: Sensors(x2), OBD / UDS(x1)"
