addr,end,name,source,flag
0x005654,0x005660,FUN_00005654,ghidra-auto,
0x005660,0x00566C,FUN_00005660,ghidra-auto,
0x00566C,0x00567A,FUN_0000566c,ghidra-auto,
0x00567A,0x00578E,FUN_0000567a,ghidra-auto,
0x00578E,0x00579C,FUN_0000578e,ghidra-auto,
0x00579C,0x0057AA,FUN_0000579c,ghidra-auto,
0x0057AA,0x0057B8,FUN_000057aa,ghidra-auto,
0x0057B8,0x0057C6,FUN_000057b8,ghidra-auto,
0x0057C6,0x0058E0,FUN_000057c6,ghidra-auto,
0x0058E0,0x0058EE,FUN_000058e0,ghidra-auto,
0x0058EE,0x0058FC,FUN_000058ee,ghidra-auto,
0x0058FC,0x00590A,FUN_000058fc,ghidra-auto,
0x00590A,0x005918,FUN_0000590a,ghidra-auto,
0x005918,0x005926,FUN_00005918,ghidra-auto,
0x005926,0x005934,FUN_00005926,ghidra-auto,
0x005934,0x00596C,FUN_00005934,ghidra-auto,
0x00596C,0x00597A,FUN_0000596c,ghidra-auto,
0x00597A,0x005988,FUN_0000597a,ghidra-auto,
0x005988,0x005996,FUN_00005988,ghidra-auto,
0x005996,0x0059A4,FUN_00005996,ghidra-auto,
0x0059A4,0x0059B2,FUN_000059a4,ghidra-auto,
0x0059B2,0x0059C0,FUN_000059b2,ghidra-auto,
0x0059C0,0x0059CE,FUN_000059c0,ghidra-auto,
0x0059CE,0x005A1E,FUN_000059ce,ghidra-auto,
0x005A1E,0x005A22,thunk_FUN_00005348,ghidra-auto,
0x005A22,0x005A30,FUN_00005a22,ghidra-auto,
0x005A30,0x005A3E,FUN_00005a30,ghidra-auto,
0x005A3E,0x005A4C,FUN_00005a3e,ghidra-auto,
0x005A4C,0x005A58,FUN_00005a4c,ghidra-auto,
0x005A58,0x005AC0,FUN_00005a58,ghidra-auto,
0x005AC0,0x005ACE,FUN_00005ac0,ghidra-auto,
0x005ACE,0x005ADC,FUN_00005ace,ghidra-auto,
0x005ADC,0x005AEA,FUN_00005adc,ghidra-auto,
0x005AEA,0x005AF8,FUN_00005aea,ghidra-auto,
0x005AF8,0x005B06,FUN_00005af8,ghidra-auto,
0x005B06,0x005B14,FUN_00005b06,ghidra-auto,
0x005B14,0x005B20,FUN_00005b14,ghidra-auto,
0x005B20,0x005B2E,FUN_00005b20,ghidra-auto,
0x005B2E,0x005B3C,FUN_00005b2e,ghidra-auto,
0x005B3C,0x005B56,FUN_00005b3c,ghidra-auto,
0x005B56,0x005CC4,FUN_00005b56,ghidra-auto,
0x005CC4,0x005CD2,FUN_00005cc4,ghidra-auto,
0x005CD2,0x005CE2,FUN_00005cd2,ghidra-auto,
0x005CE2,0x005CEE,FUN_00005ce2,ghidra-auto,
0x005CEE,0x005CFE,FUN_00005cee,ghidra-auto,
0x005CFE,0x005D0A,FUN_00005cfe,ghidra-auto,
0x005D0A,0x005D16,FUN_00005d0a,ghidra-auto,
0x005D16,0x005D26,FUN_00005d16,ghidra-auto,
0x005D26,0x005D36,FUN_00005d26,ghidra-auto,
0x005D36,0x005D70,FUN_00005d36,ghidra-auto,
0x005D70,0x005D80,FUN_00005d70,ghidra-auto,
0x005D80,0x005D90,FUN_00005d80,ghidra-auto,
0x005D90,0x005DA0,FUN_00005d90,ghidra-auto,
0x005DA0,0x005DA6,FUN_00005da0,ghidra-auto,
0x005DA6,0x005DB6,FUN_00005da6,ghidra-auto,
0x005DB6,0x005DC6,FUN_00005db6,ghidra-auto,
0x005DC6,0x005DD6,FUN_00005dc6,ghidra-auto,
0x005DD6,0x005DDC,FUN_00005dd6,ghidra-auto,
0x005DDC,0x005DEC,FUN_00005ddc,ghidra-auto,
0x005DEC,0x005DFC,FUN_00005dec,ghidra-auto,
0x005DFC,0x005E0C,FUN_00005dfc,ghidra-auto,
0x005E0C,0x005E12,FUN_00005e0c,ghidra-auto,
0x005E12,0x005E22,FUN_00005e12,ghidra-auto,
