bank,addr,end,src_name,source,flag,lift_name,verified,also_sources,category
60E0E500,0x004dea,0x004DEE,FUN_004dea,derived,NOISE,FUN_00004dea,,,Peripherals & ISR
60E0E500,0x004dee,0x004E06,FUN_004dee,derived,,timer_sfr_ec00_init_max,,,Boot & Init
60E0E500,0x004e06,0x004E0A,FUN_004e06,derived,,thunk_FUN_00004dee,,,RTOS
60E0E500,0x004e0a,0x004E0E,FUN_004e0a,derived,NOISE,,,,RTOS
60E0E500,0x004e0e,0x004E12,FUN_004e0e,derived,NOISE,,,,RTOS
60E0E500,0x004e12,0x004E6C,FUN_004e12,derived,,,,,RTOS
60E0E500,0x004e6c,0x004F00,FUN_004e6c,derived,,sfr_output_module_bulk_init,,,Boot & Init
60E0E500,0x004f00,0x004FD6,FUN_004f00,derived,,FUN_00004f00,,,Boot & Init
60E0E500,0x004fd6,0x005020,FUN_004fd6,derived,,,,,Utilities
60E0E500,0x005020,0x005024,FUN_005020,derived,,noOpFun3,,,RTOS
60E0E500,0x005024,0x005032,writeWatchdog_disable?,ghidra-hand-xmap,,writeWatchdog_disable_,,,RTOS
60E0E500,0x005032,0x005036,FUN_005032,derived,,writeWatchdog_disable_,,,Memory & CRC
60E0E500,0x005036,0x00503A,FUN_005036,derived,NOISE,,,,RTOS
60E0E500,0x00503a,0x00503E,FUN_00503a,derived,NOISE,,,,RTOS
60E0E500,0x00503e,0x005056,FUN_00503e,derived,,rtos_noop_stub_503e,,,RTOS
60E0E500,0x005056,0x00505A,FUN_005056,derived,NOISE,,,,
60E0E500,0x00505a,0x00505E,FUN_00505a,derived,NOISE,,,,Utilities
60E0E500,0x00505e,0x005062,FUN_00505e,derived,NOISE,,,,Utilities
60E0E500,0x005062,0x0050A6,FUN_005062,derived,,ctrl_nullsub_5062,,,Utilities
60E0E500,0x0050a6,0x0050AA,FUN_0050a6,derived,,noOpFunc7,,,RTOS
60E0E500,0x0050aa,0x0051C8,FUN_0050aa,derived,,,,,Peripherals & ISR
60E0E500,0x0051c8,0x00522A,FUN_0051c8,derived,,port_regs_bulk_config_f722,,,Peripherals & ISR
60E0E500,0x00522a,0x00528E,FUN_00522a,derived,,FUN_0000522a,,,Boot & Init
60E0E500,0x00528e,0x005292,FUN_00528e,derived,NOISE,,,,Memory & CRC
60E0E500,0x005292,0x005348,FUN_005292,derived,,atu_clock_prescaler_select,,,Math / FPU
60E0E500,0x005348,0x0053C6,FUN_005348,derived,,,,,Faults & DTC
60E0E500,0x0053c6,0x0053D2,FUN_0053c6,derived,,,,,Faults & DTC
60E0E500,0x0053d2,0x0053DE,FUN_0053d2,derived,,,,,Faults & DTC
60E0E500,0x0053de,0x0053EA,FUN_0053de,derived,,,,,Faults & DTC
60E0E500,0x0053ea,0x0053F6,FUN_0053ea,derived,,,,,Faults & DTC
60E0E500,0x0053f6,0x005402,FUN_0053f6,derived,,,,,Faults & DTC
60E0E500,0x005402,0x00540E,FUN_005402,derived,,,,,Faults & DTC
60E0E500,0x00540e,0x00541A,FUN_00540e,derived,,,,,Faults & DTC
60E0E500,0x00541a,0x005426,FUN_00541a,derived,,,,,Faults & DTC
60E0E500,0x005426,0x005434,FUN_005426,derived,,,,,Faults & DTC
60E0E500,0x005434,0x005474,FUN_005434,derived,,,,,Faults & DTC
60E0E500,0x005474,0x005482,FUN_005474,derived,,,,,Faults & DTC
60E0E500,0x005482,0x005490,FUN_005482,derived,,,,,Faults & DTC
60E0E500,0x005490,0x00549A,FUN_005490,derived,,,,,Faults & DTC
60E0E500,0x00549a,0x0054A6,FUN_00549a,derived,,,,,Faults & DTC
60E0E500,0x0054a6,0x0054B2,FUN_0054a6,derived,,,,,Faults & DTC
60E0E500,0x0054b2,0x0054BE,FUN_0054b2,derived,,,,,Faults & DTC
60E0E500,0x0054be,0x0054CA,FUN_0054be,derived,,,,,Faults & DTC
60E0E500,0x0054ca,0x0054D6,FUN_0054ca,derived,,,,,Faults & DTC
60E0E500,0x0054d6,0x0054EA,FUN_0054d6,derived,,,,,Faults & DTC
60E0E500,0x0054ea,0x0054F6,FUN_0054ea,derived,,,,,Faults & DTC
60E0E500,0x0054f6,0x005502,FUN_0054f6,derived,,,,,Faults & DTC
60E0E500,0x005502,0x00550E,FUN_005502,derived,,,,,Faults & DTC
60E0E500,0x00550e,0x00551A,FUN_00550e,derived,,,,,Faults & DTC
60E0E500,0x00551a,0x005526,FUN_00551a,derived,,,,,Faults & DTC
60E0E500,0x005526,0x005532,FUN_005526,derived,,,,,Faults & DTC
60E0E500,0x005532,0x00553E,FUN_005532,derived,,,,,Faults & DTC
60E0E500,0x00553e,0x005564,FUN_00553e,derived,,,,,Faults & DTC
60E0E500,0x005564,0x0055A0,FUN_005564,derived,,,,,Faults & DTC
60E0E500,0x0055a0,0x0055B2,FUN_0055a0,derived,,,,,Faults & DTC
60E0E500,0x0055b2,0x0055C4,FUN_0055b2,derived,,,,,Faults & DTC
60E0E500,0x0055c4,0x0055D6,FUN_0055c4,derived,,,,,Faults & DTC
