caller_addr,caller_name,callee_addr,callee_name,kind
0x546FA,FUN_000546fa,0x547F0,FUN_000547f0,bsr
0x54744,FUN_00054744,0x1008,FUN_00001008,ref
0x547C8,FUN_000547c8,0x66A14,setupForUdsResponse?,ref
0x54824,FUN_00054824,0x52A12,udsResponseRelated??,ref
0x54824,FUN_00054824,0x52A36,FUN_00052a36,ref
0x54824,FUN_00054824,0x52A5A,udsErrorResponse,ref
0x54824,FUN_00054824,0x548CA,FUN_000548ca,bsr
0x54824,FUN_00054824,0x66A74,udsServiceResponse,ref
0x548CA,FUN_000548ca,0x66A14,setupForUdsResponse?,ref
0x54904,UDSServiceB1Function,0x4218,FUN_00004218,ref
0x54904,UDSServiceB1Function,0x52A12,udsResponseRelated??,ref
0x54904,UDSServiceB1Function,0x52A36,FUN_00052a36,ref
0x54904,UDSServiceB1Function,0x52A5A,udsErrorResponse,ref
0x54904,UDSServiceB1Function,0x54ADE,FUN_00054ade,bsr
0x54904,UDSServiceB1Function,0x66A74,udsServiceResponse,ref
0x54A0C,FUN_00054a0c,0x3920,getSR,ref
0x54A0C,FUN_00054a0c,0x3934,setSR,ref
0x54A66,runImmoRelatedCounter,0x3920,getSR,ref
0x54A66,runImmoRelatedCounter,0x3934,setSR,ref
0x54AA2,FUN_00054aa2,0x54A0C,FUN_00054a0c,bsr
0x54ADE,FUN_00054ade,0x52A5A,udsErrorResponse,ref
0x54B04,UDSService22Function,0x52A12,udsResponseRelated??,ref
0x54B04,UDSService22Function,0x52A5A,udsErrorResponse,ref
0x54B04,UDSService22Function,0x66A74,udsServiceResponse,ref
0x54B5E,FUN_00054b5e,0x52A36,FUN_00052a36,ref
0x54B72,mode22Hanlder,0x52A12,udsResponseRelated??,ref
0x54B72,mode22Hanlder,0x55C14,getMode22PID,ref
0x54BAE,FUN_00054bae,0x55ECC,intToUDS_SERVICE_DATA,ref
0x54BD2,UDSServiceSomething,0x533CC,FUN_000533cc,ref
0x54BD2,UDSServiceSomething,0x533F4,FUN_000533f4,ref
0x54BD2,UDSServiceSomething,0x533FA,FUN_000533fa,ref
0x54BD2,UDSServiceSomething,0x53400,FUN_00053400,ref
