addr,end,name,source,flag
0x006A4C,0x006B5C,FUN_006a4c,derived,
0x006B5C,0x006B60,FUN_006b5c,derived,
0x006B60,0x006B90,FUN_006b60,derived,
0x006B90,0x006B94,FUN_006b90,derived,
0x006B94,0x006C1A,FUN_006b94,derived,
0x006C1A,0x006C4C,FUN_006c1a,derived,
0x006C4C,0x006CA6,FUN_006c4c,derived,
0x006CA6,0x006CDC,FUN_006ca6,derived,
0x006CDC,0x006CE2,FUN_006cdc,derived,
0x006CE2,0x006D7C,FUN_006ce2,derived,
0x006D7C,0x006D8E,FUN_006d7c,derived,
0x006D8E,0x006DE2,FUN_006d8e,derived,
0x006DE2,0x006EFA,FUN_006de2,derived,
0x006EFA,0x006F16,FUN_006efa,derived,
0x006F16,0x006FB0,FUN_006f16,derived,
0x006FB0,0x006FFA,FUN_006fb0,derived,
0x006FFA,0x007070,FUN_006ffa,derived,
0x007070,0x007088,FUN_007070,derived,
0x007088,0x0070AC,FUN_007088,derived,
0x0070AC,0x00712E,atu_fpu_control_wrapper,ghidra-hand-xmap,
0x00712E,0x007188,FUN_00712e,derived,
0x007188,0x0071EA,FUN_007188,derived,
0x0071EA,0x007280,FUN_0071ea,derived,
0x007280,0x007290,FUN_007280,derived,
0x007290,0x007298,FUN_007290,derived,
0x007298,0x007330,FUN_007298,derived,
0x007330,0x007338,FUN_007330,derived,
0x007338,0x007398,readECMVoltage??,ghidra-hand-xmap,
0x007398,0x0073A0,FUN_007398,derived,
0x0073A0,0x007438,FUN_0073a0,derived,
0x007438,0x0074AC,getMAFSensorValue,ghidra-hand-xmap,
0x0074AC,0x0074B0,FUN_0074ac,derived,
0x0074B0,0x0074D4,FUN_0074b0,derived,
0x0074D4,0x0074DA,FUN_0074d4,derived,
0x0074DA,0x0074E0,FUN_0074da,derived,
0x0074E0,0x007518,FUN_0074e0,derived,
0x007518,0x007568,fuelingInit??,ghidra-hand-xmap,
0x007568,0x00759E,FUN_007568,derived,
0x00759E,0x0075F4,FUN_00759e,derived,
0x0075F4,0x00765A,FUN_0075f4,derived,
0x00765A,0x007668,FUN_00765a,derived,
0x007668,0x0076B8,FUN_007668,derived,
0x0076B8,0x007724,FUN_0076b8,derived,
0x007724,0x007778,FUN_007724,derived,
0x007778,0x0077F0,setInterruptTimer,ghidra-hand-xmap,
0x0077F0,0x00787A,FUN_0077f0,derived,
0x00787A,0x007A86,FUN_00787a,derived,
0x007A86,0x007AB2,FUN_007a86,derived,
0x007AB2,0x007B58,FUN_007ab2,derived,
0x007B58,0x007B84,FUN_007b58,derived,
0x007B84,0x007B90,FUN_007b84,derived,
0x007B90,0x007BDC,FUN_007b90,derived,
0x007BDC,0x007BE4,FUN_007bdc,derived,
0x007BE4,0x007C0C,FUN_007be4,derived,
0x007C0C,0x007E3C,crankSensorInit?,ghidra-hand-xmap,
0x007E3C,0x007EB4,FUN_007e3c,derived,
0x007EB4,0x007ECA,FUN_007eb4,derived,
