addr,end,name,source,flag
0x004D36,0x004DF2,setRegisters,ghidra-hand-xmap,
0x004DF2,0x004DF6,FUN_004df2,derived,
0x004DF6,0x004E0E,FUN_004df6,derived,
0x004E0E,0x004E12,FUN_004e0e,derived,
0x004E12,0x004E16,FUN_004e12,derived,
0x004E16,0x004E1A,FUN_004e16,derived,
0x004E1A,0x004E74,FUN_004e1a,derived,
0x004E74,0x004F08,FUN_004e74,derived,
0x004F08,0x004FDE,FUN_004f08,derived,
0x004FDE,0x005028,FUN_004fde,derived,
0x005028,0x00502C,FUN_005028,derived,
0x00502C,0x00503A,writeWatchdog_disable?,ghidra-hand-xmap,
0x00503A,0x00503E,FUN_00503a,derived,
0x00503E,0x005042,FUN_00503e,derived,
0x005042,0x005046,FUN_005042,derived,
0x005046,0x00505E,FUN_005046,derived,
0x00505E,0x005062,FUN_00505e,derived,
0x005062,0x005066,FUN_005062,derived,
0x005066,0x00506A,FUN_005066,derived,
0x00506A,0x0050AE,FUN_00506a,derived,
0x0050AE,0x0050B2,FUN_0050ae,derived,
0x0050B2,0x0051D0,FUN_0050b2,derived,
0x0051D0,0x005232,FUN_0051d0,derived,
0x005232,0x005286,FUN_005232,derived,
0x005286,0x00528E,FUN_005286,derived,
0x00528E,0x005292,FUN_00528e,derived,
0x005292,0x0052B0,FUN_005292,derived,
0x0052B0,0x005360,FUN_0052b0,derived,
0x005360,0x0053DE,FUN_005360,derived,
0x0053DE,0x0053EA,FUN_0053de,derived,
0x0053EA,0x0053F6,FUN_0053ea,derived,
0x0053F6,0x005402,FUN_0053f6,derived,
0x005402,0x00540E,FUN_005402,derived,
0x00540E,0x00541A,FUN_00540e,derived,
0x00541A,0x005426,FUN_00541a,derived,
0x005426,0x005432,FUN_005426,derived,
0x005432,0x00543E,FUN_005432,derived,
0x00543E,0x00544C,FUN_00543e,derived,
0x00544C,0x00548C,FUN_00544c,derived,
0x00548C,0x00549A,FUN_00548c,derived,
0x00549A,0x0054A8,FUN_00549a,derived,
0x0054A8,0x0054B2,FUN_0054a8,derived,
0x0054B2,0x0054BE,FUN_0054b2,derived,
0x0054BE,0x0054CA,FUN_0054be,derived,
0x0054CA,0x0054D6,FUN_0054ca,derived,
0x0054D6,0x0054E2,FUN_0054d6,derived,
0x0054E2,0x0054EE,FUN_0054e2,derived,
